Td		ID		Tj		Df		Dd		Db

364		749		354		0		10		10

365		2321		154		0		211		211

366		720		343		1		22		23

366		704		339		0		27		27

366		707		339		1		26		27

367		2403		199		0		168		168

368		2738		353		0		15		15

369		715		343		0		26		26

370		703		339		0		31		31

370		708		342		0		28		28

371		741		353		0		18		18

371		758		361		0		10		10

372		2260		133		24		215		239

372		746		354		1		17		18

373		2750		356		0		17		17

373		2754		356		0		17		17

374		2487		234		0		140		140

374		754		356		1		17		18

375		2769		370		0		5		5

375		750		356		1		18		19

376		2765		370		0		6		6

376		2767		370		0		6		6

376		743		354		1		21		22

377		2762		361		0		16		16

378		753		356		1		21		22

378		773		372		0		6		6

379		2426		206		0		173		173

379		2771		372		0		7		7

379		2766		370		0		9		9

379		759		361		2		16		18

379		717		343		1		35		36

379		771		372		0		7		7

380		2772		372		0		8		8

380		760		361		2		17		19

380		755		356		1		23		24

380		774		372		0		8		8

380		765		370		0		10		10

381		2329		156		22		203		225

381		757		361		1		19		20

381		764		370		1		10		11

381		768		370		1		10		11

381		769		370		1		10		11

381		767		370		0		11		11

382		2783		378		0		4		4

382		766		370		1		11		12

383		2786		379		0		4		4

383		777		372		0		11		11

384		2788		379		0		5		5

385		2784		379		0		6		6

385		2787		379		0		6		6

385		780		378		1		6		7

389		787		379		1		9		10

389		789		379		1		9		10

390		2800		384		0		6		6

390		793		381		0		9		9

391		2814		386		0		5		5

391		2338		160		21		210		231

391		2271		140		0		251		251

392		2806		385		0		7		7

392		2803		384		0		8		8

393		2812		386		0		7		7

393		697		337		0		56		56

393		752		356		0		37		37

393		795		381		0		12		12

394		2768		370		0		24		24

394		2815		386		0		8		8

394		794		381		0		13		13

394		796		381		0		13		13

394		802		384		1		9		10

394		806		385		0		9		9

395		2821		387		0		8		8

395		803		384		1		10		11

396		2773		372		1		23		24

397		825		387		1		9		10

397		820		387		1		9		10

397		816		386		0		11		11

398		826		387		1		10		11

399		827		391		0		8		8

400		2764		370		0		30		30

400		2770		372		0		28		28

400		2831		391		0		9		9

400		2375		186		0		214		214

400		817		386		1		13		14

400		824		387		0		13		13

400		818		386		0		14		14

401		2837		393		0		8		8

402		2827		391		1		10		11

402		2820		387		1		14		15

402		833		391		1		10		11

402		850		397		0		5		5

403		2828		391		0		12		12

403		840		393		1		9		10

404		2774		372		1		31		32

404		2353		166		0		238		238

404		2523		248		0		156		156

405		2829		391		0		14		14

406		849		397		0		9		9

407		2841		396		0		11		11

407		874		403		0		4		4

408		2281		146		24		238		262

408		831		391		1		16		17

408		832		391		1		16		17

