Td		ID		Tj		Df		Dd		Db
491		3018		449		3		39		42

492		2647		315		0		177		177

492		3052		467		0		25		25

494		3049		459		4		31		35

497		3011		446		2		49		51

497		3059		469		1		27		28

498		2423		221		23		254		277

498		2997		442		0		56		56

499		2523		259		9		231		240

499		3038		457		0		42		42

499		3012		446		2		51		53

500		3083		476		2		22		24

500		3053		467		3		30		33

Battle result: Draw

 For Earth Army :
Total number of ES 287
Total number of ET 424
Total number of EG 386
Total number of HU 51
percentage of destructed ES relative to their total 34.1463
percentage of destructed ET relative to their total 8.25472
percentage of destructed EG relative to their total 0
percentage of total destructed Earth units relative to their total 12.124
percentage of healed units relative to total earth units 1.732
Average of Df for Earth army units 3.74419
Average of Dd for Earth army units 105.481
Average of Db for Earth army units 109.225
Df/Db percentage for Earth army 0.0342796
Dd/Db percentage for Earth army 0.96572
For Alien Army :
Total number of AS 306
Total number of AM 387
Total number of AD 455
percentage of destructed AS relative to their total 45.4248
percentage of destructed AM relative to their total 89.4057
percentage of destructed AD relative to their total 54.9451
percentage of total destructed Alien units relative to their total 64.0244
Average of Df for Alien army units 1.86803
Average of Dd for Alien army units 62.2177
Average of Db for Alien army units 64.0857
Df/Db percentage for Alien army 0.0291489
Dd/Db percentage for Alien army 0.970851
